,algo,ovlp-P,ovlp-R,ovlp-F,sovl-P,sovl-R,sovl-F,dtct-P,dtct-R,dtct-F
0,seqRecur,0.8989471678058956,0.8360329540918381,0.8599642131123854,0.8989457543266749,0.8410129491442313,0.8631873586363841,0.3670717938500364,0.582426778242678,0.43281246879573243
0,seqRecur+,0.9268864369008514,0.8608161509315033,0.8877814738825354,0.9251901178851403,0.8637108539872173,0.8887743629468055,0.5382197648934052,0.6495118549511855,0.5761771933320052
0,seqRecurS,0.9246614668490004,0.2912716527281348,0.43652069423720063,0.9246614668490004,0.7520425203719312,0.8091914710351702,0.5774058577405857,0.2343096234309626,0.33026499302649936
0,highlighter,0.8327642956764292,0.24931294188549993,0.3780343553176074,0.831072524407252,0.5423129391256392,0.6309049230245497,0.23430962343096234,0.08995815899581588,0.1288702928870293
0,refraiD,0.4860406537404041,0.12311334328703875,0.19292303301315902,0.4836040739805363,0.29491818371033424,0.3467536129838543,0.23430962343096234,0.08856345885634587,0.1274755927475593
0,scluster,0.6976383883338716,0.7567395646349704,0.6805202794172241,0.6630424703670349,0.7690016806368265,0.6664740951543114,0.30203090726103304,0.4365411436541144,0.3220445786565583
0,sf,0.8566858426589715,0.8386569219814285,0.8332115456078248,0.8146780774544224,0.8923891109361448,0.831087901927182,0.6241283124128312,0.5747559274755927,0.5890615660490138
0,olda,0.8972398270246982,0.8677667377178807,0.8725846743962453,0.8645085724988933,0.9070497999090185,0.8720931691198387,0.6748256624825659,0.6331938633193861,0.6427840871355514
0,foote,0.874452729859999,0.8333246459660215,0.8414458838437454,0.8475001521751936,0.8660308611577788,0.839854853966029,0.4345885634588563,0.4170153417015341,0.42012353058378155
0,scluster+,0.878120965392583,0.8699074526777738,0.857848286496852,0.8540783784983612,0.9094633900117047,0.8639722141777878,0.7071129707112972,0.633124128312413,0.6566049013747761
0,sf+,0.8756598673763839,0.8644890098204846,0.860206764007995,0.8381446622738801,0.9092951495735003,0.8565855685425533,0.6596931659693168,0.5999999999999999,0.6226339908348281
0,olda+,0.9124038072787686,0.9110911695868377,0.9067027471250763,0.8903021811811819,0.9321184460945038,0.9031421027562384,0.7074616457461643,0.6694560669456066,0.6833931061964532
0,cnmf,0.6462162416724385,0.6742861814521043,0.6290347869711217,0.617356589837448,0.7134232003080556,0.6292489498056926,0.16584478979876466,0.21548117154811722,0.17309968042185606
0,cnmf+,0.8803300844861707,0.8516376678751663,0.8527748931397202,0.8643113001306928,0.8847076318511706,0.8617493425836342,0.47419804741980476,0.4481171548117156,0.45729228930065763
0,foote+,0.8873254002780814,0.8798559033921955,0.8752428862081444,0.8729626266385149,0.8952107966020587,0.8750339539738242,0.49093444909344497,0.46548117154811713,0.47433751743375185
0,gtBoundary,0.9972597245689792,0.9968994612263623,0.9970786921615723,0.9972597245689792,0.9968994612263623,0.9970786921615723,1.0,1.0,1.0
