,algo,ovlp-P,ovlp-R,ovlp-F,sovl-P,sovl-R,sovl-F,dtct-P,dtct-R,dtct-F
0,seqRecur,0.8850219432768062,0.8369285559274203,0.8513507213136416,0.8680027032705234,0.837278255804446,0.8420082938795845,0.46742857142857147,0.5203333333333332,0.48431818181818165
0,seqRecurS,0.8081279111784384,0.34458611427622166,0.472517221868294,0.7930923525374702,0.8520096407813081,0.7955109898925262,0.46,0.15816666666666668,0.23266666666666666
0,highlighter,0.7500900000000003,0.2866296648774913,0.4061151022926605,0.7352533333333335,0.7063370399236417,0.6982588637396823,0.33,0.11750000000000003,0.17133333333333334
0,scluster,0.6570758161272588,0.7361923231443035,0.6479124600160893,0.6327465250601997,0.7511789141920947,0.6407975462327571,0.3884364230540701,0.4734999999999999,0.4011827894327893
0,sf,0.7862393769829591,0.7298510257895997,0.7221562756899307,0.7545145754539885,0.8684203347887367,0.774832574632171,0.6416666666666667,0.5391666666666667,0.5734761904761903
0,olda,0.8273035018363527,0.7855145586343939,0.7901277395229275,0.8019970975804896,0.8779512251509296,0.8220903268021066,0.5966666666666667,0.5179999999999999,0.5420079365079363
0,cnmf,0.6070402906546551,0.6379593595674967,0.5795548526759502,0.5780594893263928,0.6925267802337427,0.5898212351841643,0.2160995670995671,0.2486666666666667,0.22059163059163062
0,foote,0.8119189299822627,0.7594089851593558,0.7651190355514855,0.7810744312269532,0.8543830297824982,0.8010144144308788,0.5576666666666666,0.4606666666666667,0.4933809523809522
0,seqRecur+,0.8903943569852768,0.8495378568720514,0.8638756821712158,0.8752736194388057,0.8475971950226548,0.8541266118763395,0.5042619047619048,0.5623333333333332,0.5228261183261182
0,scluster+,0.8370499974448957,0.8218212939883162,0.8159947940322738,0.8025157221694427,0.871308269402045,0.8185211185475297,0.7475,0.6468333333333333,0.6808095238095236
0,sf+,0.7869991576560601,0.7735141176914149,0.7617918920822524,0.748481920132535,0.851257898389745,0.7789823659771941,0.6818333333333334,0.5870000000000001,0.620047619047619
0,olda+,0.8480516462978103,0.8873004403659988,0.8602646040347918,0.8145719406272857,0.9294030083443549,0.8570795203438759,0.7260000000000001,0.6433333333333333,0.6713888888888886
0,cnmf+,0.8070821606959303,0.7903387148493433,0.7826451047645666,0.7710672626142392,0.8563629409667233,0.7952262542519448,0.5166666666666667,0.4618333333333334,0.4812619047619047
0,foote+,0.8363853842834119,0.8320311122703484,0.8243733242636231,0.7965379446952453,0.8989959602201744,0.8326955316601635,0.6410000000000001,0.5549999999999998,0.5845714285714283
0,gtBoundary,0.9859571185197318,0.9855032076930474,0.9856992567709051,0.9859571185197318,0.9855455864734677,0.985743073013835,0.99,0.99,0.99
0,refraiD,0.30142261952976335,0.10153821009219939,0.14917149716171446,0.30093995469089824,0.2982652652204361,0.29171059508415503,0.18,0.056999999999999995,0.086
