,title,algo,ovlp-P,ovlp-R,ovlp-F,sovl-P,sovl-R,sovl-F,dtct-P,dtct-R,dtct-F
0,08 Woman Like You,seqRecur,0.8712937257079401,0.8917935894521483,0.8814244790203899,0.8712937257079401,0.8917935894521483,0.8814244790203899,0.6,1.0,0.7499999999999999
1,05 レプリカ,seqRecur,0.9989641905889313,0.8091813496344246,0.8941129726508179,0.9989641905889313,0.8091813496344246,0.8941129726508179,0.3333333333333333,0.3333333333333333,0.3333333333333333
2,06 Angel Baby,seqRecur,0.8914943508846725,0.8712499999999995,0.8812559266673686,0.8914943508846725,0.8712499999999995,0.8812559266673686,0.5,0.6666666666666666,0.5714285714285715
3,15 出会えたから,seqRecur,0.7575720113734701,1.0,0.8620665400576774,0.7575720113734701,1.0,0.8620665400576774,0.6666666666666666,0.6666666666666666,0.6666666666666666
4,11 遠い街へ,seqRecur,0.8671447196870926,0.9071194762684124,0.8866817757632316,0.8671447196870926,0.9071194762684124,0.8866817757632316,0.0,0.0,0.0
5,13 キャッチボール,seqRecur,0.9131007241606321,0.9107879924953094,0.9119428920302447,0.9131007241606321,0.9107879924953094,0.9119428920302447,0.5,0.6666666666666666,0.5714285714285715
6,05 恋のVer.2.4,seqRecur,0.9268569268569268,0.8898566503356923,0.9079800037030179,0.7440937440937443,0.7143894030121577,0.7289390853545642,0.5,0.75,0.6
7,06 見上げた空は,seqRecur,0.7508362715848474,1.0,0.8576887328307341,0.45881927492993374,1.0,0.6290282597917697,0.3333333333333333,0.25,0.28571428571428575
8,09 Non Stop Driving,seqRecur,0.9451258876694644,0.9150000000000004,0.9298189901556053,0.9451258876694644,0.9150000000000004,0.9298189901556053,1.0,1.0,1.0
9,07 月のように,seqRecur,0.946705193033149,0.860007291286912,0.9012760754947658,0.946705193033149,0.860007291286912,0.9012760754947658,0.6,0.75,0.6666666666666665
10,07 PROLOGUE,seqRecur,0.9228504122497057,0.9755135920315414,0.9484515282961766,0.9228504122497057,0.9755135920315414,0.9484515282961766,0.3333333333333333,0.3333333333333333,0.3333333333333333
11,05 Feel,seqRecur,0.7583129408377717,1.0,0.8625460499386,0.7583129408377717,1.0,0.8625460499386,1.0,1.0,1.0
12,12 誓い,seqRecur,0.928818862442731,0.8506805854057927,0.8880341880341881,0.6225276567214213,0.5701565858151674,0.5951923076923077,0.5,0.6666666666666666,0.5714285714285715
13,07 First Love,seqRecur,0.9230882137090858,0.7835783702965364,0.8476312419974392,0.9230882137090858,0.7835783702965364,0.8476312419974392,0.6666666666666666,0.6666666666666666,0.6666666666666666
14,15 Moving Round and Round,seqRecur,0.7441547518923465,0.9905956112852664,0.8498703294592257,0.7441547518923465,0.9905956112852664,0.8498703294592257,1.0,1.0,1.0
15,04 ときめきの瞬間,seqRecur,0.7009075576258934,1.0,0.8241571442062517,0.7009075576258934,1.0,0.8241571442062517,0.0,0.0,0.0
16,01 How Deep Is Your Love-,seqRecur,0.558553696708041,0.957193816884661,0.7054527750730283,0.558553696708041,0.957193816884661,0.7054527750730283,0.75,1.0,0.8571428571428571
17,13 愛してる,seqRecur,0.9702871765709411,0.70353571796722,0.8156558111741858,0.9702871765709411,0.70353571796722,0.8156558111741858,0.5,1.0,0.6666666666666666
18,02 ミセスマリル,seqRecur,0.6755043973098813,0.8858548168249663,0.7665101262107429,0.6509311950336267,0.8536295793758482,0.7386263574992664,0.2,0.25,0.22222222222222224
19,04 Life,seqRecur,1.0,0.7853069884630686,0.8797444848844983,1.0,0.7853069884630686,0.8797444848844983,0.6666666666666666,1.0,0.8
20,10 Don't Say Good bye,seqRecur,0.7383515631728531,0.90223110924016,0.8121062852271113,0.7383515631728531,0.90223110924016,0.8121062852271113,0.2,0.3333333333333333,0.25
21,15 Together,seqRecur,0.9450588028787079,0.8784467286669925,0.9105361068831386,0.9450588028787079,0.8784467286669925,0.9105361068831386,0.4,1.0,0.5714285714285715
